cpu_usage,memory_usage,disk_usage,network_latency,application_state
94,21,43,3,good
71,88,77,19,good
38,18,37,2,good
25,30,61,6,good
33,25,21,8,good
53,41,72,17,good
2,40,39,5,good
49,99,25,2,good
11,22,4,12,good
64,46,92,5,good
53,12,53,10,good
4,88,85,9,good
93,65,48,20,good
93,65,2,8,good
56,15,91,1,good
16,72,37,6,good
46,27,13,11,good
22,76,46,3,good
78,34,13,15,good
100,40,74,11,good
84,76,72,5,good
13,30,37,16,good
65,84,63,7,good
74,31,43,6,good
50,53,69,9,good
37,97,64,7,good
63,71,24,3,good
97,58,15,11,good
37,40,14,12,good
49,65,97,11,good
97,95,80,2,good
81,53,2,1,good
29,39,66,2,good
78,27,36,14,good
90,36,80,13,good
50,64,54,5,good
62,73,37,2,good
97,54,62,19,good
51,3,0,17,good
37,98,70,11,good
96,9,89,16,good
87,46,18,20,good
78,74,51,18,good
29,13,29,20,good
50,37,54,8,good
80,11,13,2,good
4,44,12,17,good
28,16,83,11,good
3,79,89,14,good
9,34,26,16,good
55,65,88,15,good
16,74,8,15,good
73,40,40,3,good
16,66,47,7,good
83,28,11,12,good
87,17,9,3,good
68,19,5,19,good
33,13,33,10,good
5,33,51,8,good
52,48,40,16,good
65,53,82,16,good
76,30,5,12,good
42,57,1,5,good
74,41,14,20,good
22,57,16,6,good
54,81,15,6,good
79,29,27,8,good
94,24,84,17,bad
74,62,71,12,good
15,18,9,14,good
7,71,9,2,good
3,91,9,19,good
3,7,72,6,good
55,94,27,18,good
24,2,23,4,good
66,66,18,5,good
95,85,96,6,good
66,80,67,15,good
26,99,55,6,good
92,16,66,8,good
31,13,41,9,good
49,8,11,6,good
60,61,17,2,good
50,93,22,16,good
18,20,83,20,good
20,75,5,1,good
4,36,52,16,good
81,95,97,1,good
91,10,41,1,good
41,19,65,7,good
60,34,29,16,good
21,52,8,17,good
20,46,90,16,good
69,74,41,16,good
0,51,33,6,good
4,7,39,18,good
11,3,87,3,good
89,26,16,8,good
45,43,28,4,good
33,39,99,4,good
48,46,49,17,good
77,93,75,5,good
89,43,94,14,good
44,47,48,15,good
26,90,72,12,good
72,84,60,13,good
25,51,82,18,good
46,83,45,14,good
85,67,45,19,good
55,10,16,7,good
93,76,65,6,good
62,72,4,5,good
47,3,53,4,good
60,75,15,18,good
80,72,80,14,good
25,76,90,16,good
35,47,6,20,good
0,25,7,14,good
7,76,71,5,good
98,38,86,11,good
51,91,95,12,good
78,57,81,18,good
46,18,37,4,good
55,87,53,13,good
85,82,75,20,good
13,76,14,13,good
89,76,91,4,good
27,57,49,7,good
86,27,55,2,good
77,65,94,18,good
87,9,8,6,good
1,85,7,16,good
25,76,18,3,good
13,57,50,15,good
58,72,71,20,good
55,96,97,10,good
6,13,56,9,good
2,83,67,11,good
22,14,30,14,good
17,95,2,12,good
37,32,98,7,good
98,16,82,11,good
14,23,42,17,good
63,29,28,9,good
88,61,9,13,good
100,12,11,16,bad
27,61,45,3,good
73,46,29,5,good
38,15,93,17,good
56,65,81,1,good
16,80,87,9,good
85,95,31,17,good
89,42,72,13,good
43,7,46,15,good
24,2,87,8,good
16,11,62,8,good
12,83,25,2,good
83,15,2,10,good
24,77,22,5,good
67,79,74,16,good
9,58,73,19,good
66,48,49,1,good
17,62,35,13,good
99,61,12,4,good
85,48,28,7,good
33,50,37,1,good
7,32,76,2,good
39,29,89,16,good
82,58,83,14,good
41,75,4,5,good
40,14,19,14,good
100,81,77,17,good
5,91,13,12,good
51,22,7,20,good
25,77,47,12,good
63,93,12,3,good
97,96,23,2,good
58,44,78,15,good
55,61,64,11,good
58,78,85,10,good
69,70,33,18,good
100,14,50,2,good
32,45,2,7,good
52,63,89,7,good
21,45,77,7,good
20,55,57,14,good
69,43,71,2,good
69,74,54,2,good
3,28,79,15,good
93,94,41,11,good
74,61,20,10,good
61,88,9,3,good
61,51,56,17,good
93,53,24,9,good
94,87,55,15,good
23,56,37,14,good
54,82,85,19,good
8,65,60,17,good
2,21,46,20,good
30,19,53,17,good
39,32,45,16,good
100,71,67,20,good
35,24,3,8,good
23,45,93,7,good
94,72,65,12,good
5,97,92,1,good
65,56,42,12,good
83,86,61,6,good
91,4,99,16,good
74,54,84,18,good
3,60,84,19,good
78,88,84,3,good
5,7,3,3,good
93,15,64,5,good
50,47,61,3,good
61,60,89,19,good
56,14,1,5,good
65,64,8,14,good
78,21,56,16,good
74,2,44,1,good
7,53,17,17,good
25,13,47,11,good
50,35,41,9,good
44,81,40,4,good
43,81,74,2,good
4,66,88,9,good
69,9,89,5,good
25,48,57,4,good
67,64,99,5,good
18,90,41,18,good
83,56,34,13,good
96,26,37,5,good
19,74,66,19,good
11,4,40,3,good
46,70,98,18,good
0,82,49,6,good
89,56,85,6,good
13,92,71,5,good
63,14,78,1,good
37,98,44,8,good
36,100,70,1,good
10,75,18,6,good
99,29,16,20,good
76,19,64,14,good
2,36,92,11,good
32,2,76,2,good
5,72,55,4,good
49,40,92,13,good
9,38,40,7,good
4,25,41,6,good
22,1,5,3,good
9,22,68,9,good
43,22,97,14,good
1,84,74,20,good
12,15,72,11,good
39,8,39,5,good
1,12,40,14,good
83,27,8,19,good
64,26,7,8,good
62,50,43,7,good
100,63,57,7,good
72,51,66,3,good
16,80,12,3,good
8,37,18,18,good
74,99,97,13,good
14,64,95,1,good
23,17,48,5,good
37,62,79,4,good
34,50,99,16,good
93,8,81,15,good
94,12,77,18,good
48,39,29,17,good
68,54,65,14,good
61,78,76,14,good
59,42,90,19,good
49,43,58,6,good
77,67,52,13,good
74,32,51,18,good
8,23,80,15,good
33,35,30,7,good
75,9,14,19,good
98,99,19,17,good
34,19,4,9,good
0,74,6,11,good
39,11,17,5,good
63,61,55,2,good
21,17,74,15,good
59,93,95,12,good
63,100,90,10,good
92,62,89,10,good
71,83,100,20,good
10,24,44,11,good
100,11,27,10,good
13,20,49,7,good
59,24,1,14,good
29,10,83,13,good
34,63,67,5,good
84,72,76,19,good
36,49,23,10,good
4,61,47,8,good
82,88,44,18,good
77,98,92,1,good
25,95,57,5,good
61,48,35,11,good
3,13,1,20,good
88,0,17,11,good
41,80,48,16,good
88,24,7,10,good
17,58,57,15,good
39,71,14,7,good
71,68,16,15,good
38,4,22,16,good
13,98,65,6,good
31,18,69,11,good
50,22,92,17,good
37,8,26,15,good
96,93,36,16,good
22,49,48,2,good
62,15,63,4,good
14,32,33,19,good
96,1,17,6,good
24,13,63,18,good
16,0,73,11,good
96,89,43,9,good
65,57,16,3,good
77,88,58,2,good
52,15,12,18,good
50,78,51,15,good
38,89,59,18,good
50,46,41,19,good
69,43,90,15,good
5,79,63,17,good
66,13,65,18,good
6,92,33,18,good
50,23,94,11,good
71,54,86,18,good
41,14,70,3,good
63,82,63,13,good
14,71,32,14,good
28,33,11,4,good
32,1,75,18,good
93,26,18,5,good
26,73,8,14,good
35,98,73,12,good
28,86,16,7,good
37,71,49,12,good
56,91,38,8,good
96,22,40,3,good
100,67,9,1,good
26,13,11,3,good
54,62,78,11,good
32,92,94,18,good
67,64,14,7,good
85,67,27,9,good
65,62,3,4,good
9,95,35,10,good
4,96,64,18,good
73,89,97,16,good
96,80,46,12,good
37,86,80,19,good
12,63,38,3,good
30,31,37,8,good
46,78,43,19,good
99,12,50,9,good
87,65,96,19,good
51,18,84,17,good
55,23,25,13,good
14,87,35,2,good
28,10,68,4,good
7,58,96,11,good
4,85,0,2,good
28,14,52,4,good
46,9,5,4,good
67,40,36,20,good
75,26,1,1,good
44,59,68,11,good
1,72,89,2,good
26,51,40,19,good
94,27,50,8,good
35,64,46,20,good
35,16,12,4,good
25,94,75,16,good
42,43,68,15,good
26,9,65,5,good
68,62,58,5,good
19,100,67,15,good
10,92,58,17,good
73,81,90,3,good
37,46,9,18,good
5,37,12,11,good
71,69,1,6,good
22,75,89,12,good
46,52,14,17,good
89,77,45,14,good
45,43,56,6,good
11,73,9,10,good
89,53,21,16,good
12,19,88,18,good
61,78,78,20,good
81,30,76,6,good
88,6,7,19,good
96,57,20,3,good
59,9,84,12,good
42,9,21,16,good
75,38,96,3,good
99,27,44,16,good
67,29,90,4,good
4,36,39,20,good
36,66,21,13,good
71,42,29,4,good
91,78,61,4,good
30,84,72,7,good
8,51,44,12,good
50,100,34,2,good
28,55,81,16,good
77,75,41,7,good
39,67,4,19,good
40,8,26,11,good
85,91,69,1,good
10,22,61,9,good
22,62,31,5,good
0,60,7,17,good
45,39,84,1,good
100,43,17,17,good
20,85,77,12,good
89,23,14,13,good
35,50,25,11,good
53,57,52,13,good
86,89,43,13,good
56,93,31,6,good
0,32,27,6,good
62,15,38,20,good
53,21,31,10,good
54,56,76,19,good
39,61,78,3,good
14,81,17,7,good
20,70,69,5,good
46,89,10,8,good
72,71,31,5,good
52,69,19,12,good
8,29,96,4,good
73,22,39,19,good
51,31,7,18,good
56,85,34,3,good
25,56,68,7,good
40,8,98,8,good
34,30,77,15,good
62,70,20,17,good
24,8,23,19,good
89,12,16,4,good
74,57,17,16,good
37,2,97,13,good
1,34,11,12,good
6,96,15,4,good
81,20,3,12,good
90,63,88,17,good
33,94,33,9,good
90,51,91,12,good
16,33,45,15,good
42,95,74,20,good
58,34,76,2,good
50,14,30,9,good
53,95,24,14,good
23,5,73,4,good
24,84,23,4,good
70,96,64,6,good
51,31,24,5,good
69,51,27,17,good
87,82,35,13,good
32,96,81,20,good
48,27,5,17,good
28,94,65,19,good
62,84,66,1,good
21,97,71,17,good
25,63,94,3,good
27,78,47,14,good
84,77,82,12,good
48,18,69,15,good
70,14,77,6,good
80,5,66,20,good
83,72,47,2,good
48,100,64,4,good
19,83,43,13,good
85,97,93,13,good
91,37,62,17,good
62,25,45,6,good
60,81,18,11,good
48,91,63,19,good
70,50,82,16,good
0,72,72,8,good
95,95,70,1,good
12,52,100,10,good
93,55,49,2,good
86,58,62,19,good
50,69,40,14,good
55,77,6,3,good
82,91,8,9,good
61,57,3,8,good
31,87,88,11,good
29,12,48,15,good
28,42,75,6,good
48,75,5,2,good
44,50,81,1,good
92,18,20,3,good
29,20,14,18,good
15,90,66,14,good
39,82,65,17,good
18,23,55,2,good
17,25,67,19,good
0,44,31,9,good
77,27,65,8,good
46,81,28,10,good
65,99,65,9,good
91,28,33,8,good
93,16,26,7,good
37,67,59,6,good
50,43,38,2,good
62,60,43,9,good
3,92,81,9,good
0,67,35,19,good
7,73,18,9,good
28,24,90,2,good
54,94,44,19,good
2,66,83,16,good
31,1,20,14,good
9,88,22,20,good
73,48,93,1,good
82,69,88,13,good
33,25,94,2,good
96,71,26,14,good
86,98,97,1,good
54,26,71,15,good
91,88,18,18,good
31,17,40,9,good
49,53,25,8,good
6,0,27,7,good
92,60,63,9,good
7,2,67,9,good
64,67,94,11,good
56,40,79,4,good
66,36,50,7,good
87,50,73,7,good
